Country;Statement1;Statement2;Statement3;Statement4;NeighboringCountry
Austria;I have the oldest still running zoo in the world;My most known Landmark is the Schönbrunn Castle in Vienna;My Flag Looks Like: ;My favorite food is a Wiener Schnitzel;Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy
Belgium;The capital of the European Union is in my country;The Atomium in Brussels was built for the 1958 World Exhibition and is;My Flag Looks Like:;My favorite food is Waffels;Netherlands, Germany, Luxembourg, France
Bulgaria;I have the oldest treasures of gold;My most known Landmark is the Rila Monestry ;My Flag Looks Like:;My favorite food is a Shopska Salad;Romania, Greece
Croatia;I invented the tie;My most known Landmark is the Plitvice Lake National Park;My Flag Looks Like:;My favorite food is a Ćevapčići;Slovenia, Hungary
Cyprus;My country is split in two different parts;My most known Landmark is the Paphos Castle;My Flag Looks Like:;My favorite food is the Meze;Greece
Czech Republic;I have the oldest functional astronomical clock of the world;My most known Landmark is the Charles Bridge in Prague;My Flag Looks Like:;My favorite food is Vepro knedlo zelo ;Germany, Poland, Slovakia, Austria
Denmark;I don’t have any mountains and the highest place is only 178m high;My most known Landmark is the Amusement Park Tivoli in Copenhagen;My Flag Looks Like:;My favorite food is a Smørrebrød;Germany, Sweden
Estonia;I’m the only country in the world where internet is a fundamental right;My most known Landmark is the Old Town of Tallinn;My Flag Looks Like:;My favorite food is a Verivorst;Latvia, Sweden
Finland;I have the least inhabitants per square kilometre;My most known Landmark is the Sea Fortress Suomenlinna near Helsinki;My Flag Looks Like:;My favorite food is a Ruisleipä;Sweden, Estonia
France;My military is the only country in Europe still using carrier pigeons;My most known Landmark is the Eifel Tower in Paris;My Flag Looks Like:;My favorite food is a Pain au chocolat;Belgium, Luxembourg, Germany, Italy, Spain, Ireland
Germany;I invented the traffic light man;My most known Landmark is the Brandenburg Gate in Berlin;My Flag Looks Like:;My favorite food is Bread;Denmark, Netherlands, Belgium, Luxembourg, France, Austria, Czech Republic, Poland
Greece;My national anthem contains 158 verses and is the longest in the world;My most known Landmark is the Acropolis in Athens;My Flag Looks Like:;My favorite food is a Moussaka;Bulgaria, Cyprus
Hungary;I invented the rubrics cube;My most known Landmark is the National Assembly Országgyülés in Budapest;My Flag Looks Like:;My favorite food is a Gulyásleves;Slovakia, Romania, Croatia, Slovenia, Austria
Ireland;Halloween exist because of me;My most known Landmark are the Cliffs of Moher;My Flag Looks Like:;My favorite food is a Shepherd’s Pie;France
Italy;I have the most UNESCO World heritage sites;My most known Landmark is the Colluseum in Rome;My Flag Looks Like:;My favorite food is Pizza or Pasta;France, Austria, Slovenia, Malta
Latvia;I have Europe’s widest waterfall;My most known Landmark is the Old Town of Riga;My Flag Looks Like:;My favorite food is Grey Peas with Bacon;Estonia, Lithuania
Lithuania;I am the geographical centre of Europe;My most known Landmark is the Trakai Island Castle;My Flag Looks Like:;My favorite food is a Cepelina;Latvia, Poland
Luxembourg;Public transport is free in my country;My most known Landmark is the Grand Ducal Palace;My Flag Looks Like:;My favorite food is Judd mat Gaardebounen;Belgium, Germany, France
Malta;I have the smallest capital in the European Union;My most known Landmark is the Blue Grotto;My Flag Looks Like:;My favorite food is a Stuffat tal-fenek;Italy
Netherlands;I have the oldest national anthem of the world;My most known Landmark is the Rijksmuseum in Amsterdam;My Flag Looks Like:;My favorite food is French Fries;Belgium, Germany
Poland;I have the first modern constitution in Europe;My most known Landmark is the Wieliczka Salt Mine;My Flag Looks Like:;My favorite food is a Pierogi;Germany, Czech Republic, Slovakia, Lithuania
Portugal;I have the oldest bookstore in the world;My most known Landmark is the Pena Palace in Sintra;My Flag Looks Like:;My favorite food is a Pastel de Nata;Spain
Romania;Graf Dracula wouldn’t exist without me;My most known Landmark is Dracula’s Castle ;My Flag Looks Like:;My favorite food is a Mămăligă;Hungary, Bulgaria
Slovakia;My capital city is called Bratislava;My most known Landmark is the Bartislava Castle;My Flag Looks Like:;My favorite food is Bryndzové Halušky;Czech Republic, Poland, Hungary, Austria
Slovenia;My capital city is called Ljubjana;My most known Landmark is the Predjama Castle;My Flag Looks Like:;My favorite food is Mashed Buckwheat ;Italy, Austria, Hungary, Croatia
Spain;I am the biggest producer of olive oil in the world;My most known Landmark is the Sagrada Familia in Barcelona;My Flag Looks Like:;My favorite food is a Paella;France, Portugal
Sweden;The story of Pipi Longstockings is from my country;My most known Landmark is the Vasa Museum in Stockholm;My Flag Looks Like:;My favorite food is a Köttbullar;Finland, Denmark
